"purchase_month","category_name","monthly_sales_amount","sales_mom_growth","monthly_order_count","order_mom_growth","monthly_item_count","item_mom_growth"
"2017-04",office_furniture,9411.3,-0.12808682722105652,48,-0.1724137931034483,58,-0.21621621621621623
"2017-04",perfumery,19436.51,-0.00875299747961821,97,-0.05825242718446602,101,-0.0380952380952381
"2017-04",pet_shop,6182.89,-0.24965473552377038,46,0.15,51,0.1590909090909091
"2017-04",signaling_and_security,128.06,0.7074666666666667,3,2.0,3,2.0
"2017-04",small_appliances,23114.98,1.069184123977492,20,-0.3548387096774194,20,-0.3548387096774194
"2017-04",sports_leisure,22997.06,-0.09719470385967191,184,0.12195121951219512,203,0.06842105263157895
"2017-04",stationery,4551.44,-0.22891190691591198,35,-0.375,35,-0.375
"2017-04",tablets_printing_image,1112.88,1.2482424242424244,9,0.8,11,1.2
"2017-04",telephony,7133.94,-0.09434666477088077,138,-0.09803921568627451,142,-0.1393939393939394
"2017-04",toys,13039.43,0.05671672513709964,103,0.04040404040404041,113,0.10784313725490197
"2017-04",unknown,8708.17,0.3486047293164033,63,0.16666666666666666,71,0.18333333333333332
"2017-04",watches_gifts,23336.09,-0.06252073927844588,88,0.1891891891891892,95,0.20253164556962025
"2017-05",agro_industry_and_commerce,1579.94,,4,,4,
"2017-05",air_conditioning,914.87,-0.6329110876604487,6,-0.5384615384615384,7,-0.5333333333333333
"2017-05",art,6927.25,56.77522935779817,6,5.0,6,5.0
"2017-05",arts_and_craftmanship,21.99,,1,,1,
"2017-05",audio,2081.18,1.208851623859053,17,0.8888888888888888,17,0.5454545454545454
"2017-05",auto,17501.25,0.15524987260154252,99,0.2857142857142857,113,0.34523809523809523
"2017-05",baby,8933.72,1.2728931065626945,96,1.0425531914893618,102,1.04
"2017-05",bed_bath_table,32684.6,0.3566076962954631,323,0.39826839826839827,361,0.33210332103321033
"2017-05",books_general_interest,1841.57,0.9943793454482445,19,0.5833333333333334,20,0.6666666666666666
"2017-05",books_technical,262.0,2.493333333333333,3,2.0,3,2.0
"2017-05",cine_photo,59.0,-0.5,1,-0.5,1,-0.5
"2017-05",computers_accessories,44759.39,1.4387439752504434,253,1.1810344827586208,309,1.3409090909090908
"2017-05",consoles_games,2507.2,-0.33546786539725626,26,0.7333333333333333,29,0.7058823529411765
"2017-05",construction_tools_construction,99.99,,1,,1,
"2017-05",cool_stuff,32481.6,0.5539658383562837,230,1.0535714285714286,241,1.1140350877192982
"2017-05",costruction_tools_garden,1447.34,-0.0287677575643702,5,-0.2857142857142857,7,-0.125
"2017-05",costruction_tools_tools,803.9,0.10274348422496568,2,1.0,2,1.0
"2017-05",drinks,90.0,,1,,1,
"2017-05",dvds_blu_ray,89.6,-0.9375566241549934,4,1.0,4,1.0
"2017-05",electronics,6149.11,0.2751563588705664,59,0.2553191489361702,65,0.3541666666666667
"2017-05",fashio_female_clothing,367.5,4.662557781201849,4,3.0,4,3.0
"2017-05",fashion_bags_accessories,7192.0,1.3230724506605511,91,1.0681818181818181,104,1.1666666666666667
"2017-05",fashion_childrens_clothes,110.0,,1,,1,
"2017-05",fashion_male_clothing,608.9,0.6596255008313119,3,-0.4,4,-0.2
"2017-05",fashion_shoes,1669.54,0.09370455289878805,22,0.1,22,-0.043478260869565216
"2017-05",fashion_sport,124.84,-0.34218568869216986,3,-0.25,3,-0.25
"2017-05",fashion_underwear_beach,283.5,2.0519969856819897,6,1.0,7,1.3333333333333333
"2017-05",fixed_telephony,445.83,-0.11861692663543089,9,0.5,9,0.5
"2017-05",food,387.9,-0.21046203948707518,3,-0.625,3,-0.625
"2017-05",food_drink,345.49,6.212734864300627,10,4.0,12,3.0
"2017-05",furniture_bedroom,2369.97,2.7679576457121047,6,1.0,9,2.0
"2017-05",furniture_decor,22312.54,0.161432141513063,226,0.3950617283950617,271,0.418848167539267
"2017-05",furniture_living_room,4479.45,1.1604994839244887,27,1.4545454545454546,32,1.6666666666666667
"2017-05",furniture_mattress_and_upholstery,595.89,4.4468921389396705,3,2.0,3,2.0
"2017-05",garden_tools,20372.57,0.15432323659281325,121,0.3010752688172043,138,0.2777777777777778
"2017-05",health_beauty,46340.06,1.091503380070896,261,0.5535714285714286,284,0.5777777777777777
"2017-05",home_appliances,1912.79,2.8301762114537445,28,2.111111111111111,28,1.8
"2017-05",home_appliances_2,1306.05,0.6329707426856714,7,2.5,7,2.5
"2017-05",home_confort,5114.07,1.1210526315789473,32,1.0,35,1.0588235294117647
"2017-05",home_construction,1620.5,0.011112566996736703,5,0.0,7,0.4
"2017-05",housewares,21374.9,0.7138062471837322,259,0.9328358208955224,302,0.7869822485207101
"2017-05",industry_commerce_and_business,519.8,,2,,2,
"2017-05",kitchen_dining_laundry_garden_furniture,1304.48,0.2623185600928971,9,0.125,9,0.0
"2017-05",la_cuisine,193.0,7.041666666666667,1,0.0,1,0.0
